dataset_id	chemistry	reference	dataset_name	dataset_url	fastq_url	fastq_MD5sum	delete_fastq	feature_barcode_csv_url	multiplexing_library_csv_url	quant_tar_url
1	v3	human2020A	500 Human PBMCs, 3' LT v3.1, Chromium Controller	https://www.10xgenomics.com/resources/datasets/500-human-pbm-cs-3-lt-v-3-1-chromium-controller-3-1-low-6-1-0	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/500_PBMC_3p_LT_Chromium_Controller/500_PBMC_3p_LT_Chromium_Controller_fastqs.tar	5f080c6082f11ea9fc6448482e6fb590	1			https://umd.box.com/shared/static/tg919re5gd4klua39z3zemcg9ya422am.tar
2	v3	human2020A	500 Human PBMCs, 3' LT v3.1, Chromium X	https://www.10xgenomics.com/resources/datasets/500-human-pbm-cs-3-lt-v-3-1-chromium-x-3-1-low-6-1-0	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/500_PBMC_3p_LT_Chromium_X/500_PBMC_3p_LT_Chromium_X_fastqs.tar	5b36a7bfda36a7093adc8e30c3fa92c8	1			https://umd.box.com/shared/static/lrl68q2lz0ltsvs89iazbr302p50wnqj.tar
3	v3	human2020A	1k PBMCs from a Healthy Donor (v3 chemistry)	https://www.10xgenomics.com/resources/datasets/1-k-pbm-cs-from-a-healthy-donor-v-3-chemistry-3-standard-3-0-0	https://cf.10xgenomics.com/samples/cell-exp/3.0.0/pbmc_1k_v3/pbmc_1k_v3_fastqs.tar	265ebe8f77ad90db350984d9c7a59e52	1			https://umd.box.com/shared/static/wrn19wsmkem1jyc9seqpe4pxto5zimwa.tar
4	v3	mm10-2020A	10k PBMCs from a Healthy Donor (v3 chemistry)	https://www.10xgenomics.com/resources/datasets/10-k-pbm-cs-from-a-healthy-donor-v-3-chemistry-3-standard-3-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/3.0.0/pbmc_10k_v3/pbmc_10k_v3_fastqs.tar	e0021592e209642d71f5dc420cf4c5c0	1			https://umd.box.com/shared/static/01j9574g1yd93noz2pqlqjfrdhx0m1ff.tar
5	v3	human2020A	10k Human PBMCs, 3' v3.1, Chromium X	https://www.10xgenomics.com/resources/datasets/10k-human-pbmcs-3-ht-v3-1-chromium-x-3-1-high	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/6.1.0/10k_PBMC_3p_nextgem_Chromium_X/10k_PBMC_3p_nextgem_Chromium_X_fastqs.tar	43ea77ed6f860597c568e9ff819f0504	1			https://umd.box.com/shared/static/jvvzacmo98vxfnoimg4dgi52lifhl2aa.tar
6	v3	human2020A	10k Human PBMCs, 3' v3.1, Chromium Controller	https://www.10xgenomics.com/resources/datasets/10k-human-pbmcs-3-v3-1-chromium-controller-3-1-high	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/6.1.0/10k_PBMC_3p_nextgem_Chromium_Controller/10k_PBMC_3p_nextgem_Chromium_Controller_fastqs.tar	05cccabbad1b94c83f67c67b15b07e7e	1			https://umd.box.com/shared/static/5dzu2tw8nz9tijt8lgmelll6sbaaomh4.tar
7	v3	human2020A	10k Peripheral blood mononuclear cells (PBMCs) from a healthy donor, Single Indexed	https://www.10xgenomics.com/resources/datasets/10-k-peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-single-indexed-3-1-standard-4-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/4.0.0/SC3_v3_NextGem_SI_PBMC_10K/SC3_v3_NextGem_SI_PBMC_10K_fastqs.tar	38d2d253f8537d3c39aaa5832da39ad3	1			https://umd.box.com/shared/static/iol9bxiv740xq6m29p2fzcoe8volsi7i.tar
8	v3	human2020A	10k Peripheral blood mononuclear cells (PBMCs) from a healthy donor, Dual Indexed	https://www.10xgenomics.com/resources/datasets/10-k-peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-dual-indexed-3-1-standard-4-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/4.0.0/SC3_v3_NextGem_DI_PBMC_10K/SC3_v3_NextGem_DI_PBMC_10K_fastqs.tar	bd61d65af63508368c57f137090f32b9	1			https://umd.box.com/shared/static/5dzu2tw8nz9tijt8lgmelll6sbaaomh4.tar
9	v3	human2020A	20k Human PBMCs, 3' HT v3.1, Chromium X	https://www.10xgenomics.com/resources/datasets/20-k-human-pbm-cs-3-ht-v-3-1-chromium-x-3-1-high-6-1-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/6.1.0/20k_PBMC_3p_HT_nextgem_Chromium_X/20k_PBMC_3p_HT_nextgem_Chromium_X_fastqs.tar	650201ca6bd1af3f984a629da318d23b	1			https://umd.box.com/shared/static/c609sk8w6cbn4w0tcwofz4qcyjp67506.tar
10	v3	human2020A	PBMCs from EDTA-Treated Blood Collection Tubes Isolated via SepMate-Ficoll Gradient (3' v3.1 Chemistry)	https://www.10xgenomics.com/resources/datasets/pbmcs-3p_edta_sepmate-3-1-standard	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/3p_EDTA_SepMate/3p_EDTA_SepMate_fastqs.tar	d07c96c9f224d75967759db6be54d635	1			https://umd.box.com/shared/static/imedrs558dx4tzxy9uhhxvy0dmjlhjsh.tar
